Dish/Snack/Beverage,Protein (g),Carbo-Hydrate (g),Energy,,Starch (g),Total Sugars (g),Individual Sugars (g),,,,
,,,Kcal,kJ,,,Gluc,Fruct,Sucr,Malt,Lact
1. Rice and peas,4.9,24.8,131,556,24.1,0.7,0.1,0.1,0.6,<0.1,<0.1
2. Ackee and saltfish,9.9,3.5,203,842,<0.1,3.5,0.9,1.1,1.5,<0.1,<0.1
3. West Indian Soup,5.4,9.9,87,364,7.6,2.2,0.5,0.4,1.1,0.3,<0.1
4. Goat Curry,18.7,<0.1,172,717,<0.1,1.9,0.5,0.5,0.6,0.2,<0.1
5. Jerk chicken,27.4,<0.1,195,817,<0.1,2.2,0.2,0.3,1.1,0.4,0.3
6. Caribbean fish curry,10.3,3.6,100,420,<0.1,3.6,1,1.1,1.2,0.3,<0.1
7. Caribbean vegetable curry,2,7.4,65,271,2.4,5,1.4,1.3,2.2,<0.1,<0.1
8. Callaloo and Saltfish,8.3,4.3,141,585,<0.1,4.3,1.1,1.1,2.1,<0.1,<0.1
9. Cornmeal porridge,3.9,24,125,528,13.3,10.8,<0.1,<0.1,6.7,<0.1,4.1
10. Guinness Punch,3.1,15.8,106,446,<0.1,15.8,0.2,<0.1,11.7,<0.1,3.9
11. Rum punch,0.1,26.1,106,450,11.2,14.9,5.2,5,4.7,<0.1,<0.1
12. Fried Dumplings,5.8,47.3,318,1336,46,1.3,0,0,0.2,0.9,0.2
13. Saltfish fritters,9.4,24.3,261,1093,21.9,2.4,0.5,0.4,0.4,0.8,0.4
14. Meat patties,11.9,37.4,311,1304,34.1,3.3,0.4,0.4,0.8,1.7,<0.1
15. Kenkey,2.6,22.5,118,498,22.2,0.3,0.3,<0.1,<0.1,<0.1,<0.1
16. Shito sauce,4.9,14.2,619,2555,11.2,3,0.7,1.3,1,<0.1,<0.1
17. Cassava and Plantain fufu,1.4,18.9,86,366,18.8,0.2,<0.1,<0.1,0.2,<0.1,<0.1
18. Malt/Malta drink,0.4,14.7,60,257,3.2,11.6,0.9,0.4,6.5,3.7,<0.1
19. Plantain chips (ripe and chill),1.7,62.1,484,2024,51.7,10.4,0.7,1,8.7,<0.1,<0.1
20. Eba (Gari),0.2,26.3,112,474,26,0.2,0.2,<0.1,<0.1,<0.1,<0.1
21. Rice and Peas/Beans,4.4,20.5,118,498,19.9,0.6,0.1,0.1,0.4,<0.1,<0.1
22. Jollof Rice,1.6,23.9,155,650,22.2,1.7,0.7,0.7,0.3,<0.1,<0.1
23. Egushi Stew,15.9,2.4,218,904,<0.1,2.4,0.7,0.6,0.7,0.4,<0.1
24. Groundnut Soup,10.6,3.3,144,597,1,2.3,0.5,0.6,1.1,0.1,<0.1
25. Meat stew,8.8,5,165,684,<0.1,5,2.1,2.1,0.6,0.2,<0.1
26. One pot pepper soup,14,1.9,93,389,<0.1,1.9,0.5,0.6,0.6,0.2,<0.1
27. Okro soup/stew,7.3,1.8,120,498,<0.1,1.8,0.6,0.6,0.5,0.1,<0.1
28. Ewedu soup,11.9,1.6,112,468,<0.1,1.6,0.5,0.5,0.3,0.2,<0.1
29. Chicken Couscous,7.1,11,115,480,8.3,2.6,0.8,0.7,0.8,0.4,<0.1
30. Vegetable Couscous,4.3,18.6,137,577,12.8,5.9,2.7,2.8,<0.1,0.4,<0.1
31. Lamb Couscous,6.8,18.8,141,594,16.5,2.3,0.5,0.5,1.1,0.3,<0.1
32. Traditional Libyan Soup,7.9,1.7,135,560,<0.1,1.7,0.6,0.7,0.2,0.2,<0.1
33. Kunafa,2.9,42.3,413,1721,22.5,19.8,<0.1,<0.1,18.6,0.5,0.8